project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events
django-yamlconf,20260316_091803,5138d49324e33e10956f66996af0ed1d9f27bf1a,1519107335,"django-yamlconf: Initial, 1.0.0, commit",False,original,96,60,0,0,0,0,0.62,x,original,0.0,0.0,0.9262089729309082,0.0,0.9262089729309082,,,,,,,,,,
django-yamlconf,20260316_091803,5138d49324e33e10956f66996af0ed1d9f27bf1a,1519107335,"django-yamlconf: Initial, 1.0.0, commit",False,pymop,93,63,0,0,0,0,35.25,x,pymop,8.991400718688965,0.5842394828796387,42.538124799728394,0.0,52.113765001297,85.0,WrongTypeAddedAnalysis=2;InvalidComparisonAnalysis=2;Pydocs_NoReadAfterAccess=81,3.0,WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=1;Pydocs_NoReadAfterAccess=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_NoReadAfterAccess:<frozen codecs>:918=1,,14698.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=10516<>UnsafeDictIterator=3899<>ArgParse_Parent=1<>FileClosedAnalysis=242<>faulthandler_disableBeforeClose=1<>Pydocs_NoReadAfterAccess=2<>Pydocs_MustReleaseLock=2,3057428.0,BuiltinAllAnalysis=violation=458985<>ComparisonBehaviorAnalysis=ne_end=2989<>ComparisonBehaviorAnalysis=eq_end=51280<>InPlaceSortAnalysis=list_used=62586<>InPlaceSortAnalysis=list_sorted=102<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=54259<>NonFinitesAnalysis=non_finite_op=458886<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=27270<>StringStripAnalysis=strip=533<>WrongTypeAddedAnalysis=check_append=463965<>WrongTypeAddedAnalysis=check_insert=463965<>WrongTypeAddedAnalysis=check_extend=463965<>WrongTypeAddedAnalysis=check_add=463965<>WrongTypeAddedAnalysis=check_add_assign=27270<>UnsafeListIterator=createList=35525<>UnsafeListIterator=updateList=107<>UnsafeListIterator=createIter=45<>UnsafeDictIterator=createDict=4916<>UnsafeDictIterator=updateDict=13471<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=122<>FileClosedAnalysis=close=121<>FileClosedAnalysis=end=120<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_NoReadAfterAccess=access=2839<>Pydocs_NoReadAfterAccess=vulnerable_open=81<>Pydocs_MustReleaseLock=acquire=16<>Pydocs_MustReleaseLock=release=16<>Pydocs_MustReleaseLock=end=1
django-yamlconf,20260316_091803,5138d49324e33e10956f66996af0ed1d9f27bf1a,1519107335,"django-yamlconf: Initial, 1.0.0, commit",False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
django-yamlconf,20260316_091803,5e93f841665566cc0c83b6b60d244129600a7e87,1521391372,django-yamlconf: Updated README.md,False,original,96,60,0,0,0,0,0.61,x,original,0.0,0.0,0.9252724647521973,0.0,0.9252724647521973,,,,,,,,,,
django-yamlconf,20260316_091803,5e93f841665566cc0c83b6b60d244129600a7e87,1521391372,django-yamlconf: Updated README.md,False,pymop,93,63,0,0,0,0,33.01,x,pymop,9.341477870941162,0.5450408458709717,40.19843864440918,0.0,50.08495736122131,83.0,InvalidComparisonAnalysis=2;Pydocs_NoReadAfterAccess=81,2.0,InvalidComparisonAnalysis=1;Pydocs_NoReadAfterAccess=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_NoReadAfterAccess:<frozen codecs>:918=1,,14432.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=10291<>UnsafeDictIterator=3858<>ArgParse_Parent=1<>FileClosedAnalysis=242<>faulthandler_disableBeforeClose=1<>Pydocs_NoReadAfterAccess=2<>Pydocs_MustReleaseLock=2,3057413.0,BuiltinAllAnalysis=violation=458967<>ComparisonBehaviorAnalysis=ne_end=2989<>ComparisonBehaviorAnalysis=eq_end=51280<>InPlaceSortAnalysis=list_used=62586<>InPlaceSortAnalysis=list_sorted=102<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=54259<>NonFinitesAnalysis=non_finite_op=458868<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=27270<>StringStripAnalysis=strip=533<>WrongTypeAddedAnalysis=check_append=463965<>WrongTypeAddedAnalysis=check_insert=463965<>WrongTypeAddedAnalysis=check_extend=463965<>WrongTypeAddedAnalysis=check_add=463965<>WrongTypeAddedAnalysis=check_add_assign=27270<>UnsafeListIterator=createList=35547<>UnsafeListIterator=updateList=106<>UnsafeListIterator=createIter=45<>UnsafeDictIterator=createDict=4916<>UnsafeDictIterator=updateDict=13471<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=122<>FileClosedAnalysis=close=121<>FileClosedAnalysis=end=120<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_NoReadAfterAccess=access=2839<>Pydocs_NoReadAfterAccess=vulnerable_open=81<>Pydocs_MustReleaseLock=acquire=16<>Pydocs_MustReleaseLock=release=16<>Pydocs_MustReleaseLock=end=1
django-yamlconf,20260316_091803,5e93f841665566cc0c83b6b60d244129600a7e87,1521391372,django-yamlconf: Updated README.md,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
django-yamlconf,20260316_091803,1e2eb35ff1bff9b9ced08a40965b519faee0a361,1522521186,django-yamlconf: Cleaned up some code,False,original,96,60,0,0,0,0,0.63,x,original,0.0,0.0,1.0112943649291992,0.0,1.0112943649291992,,,,,,,,,,
django-yamlconf,20260316_091803,1e2eb35ff1bff9b9ced08a40965b519faee0a361,1522521186,django-yamlconf: Cleaned up some code,False,pymop,93,63,0,0,0,0,32.29,x,pymop,9.338367462158203,0.5805754661560059,38.97232460975647,0.0,48.89126753807068,84.0,WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=2;Pydocs_NoReadAfterAccess=81,3.0,WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=1;Pydocs_NoReadAfterAccess=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_NoReadAfterAccess:<frozen codecs>:918=1,,14383.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=10253<>UnsafeDictIterator=3847<>ArgParse_Parent=1<>FileClosedAnalysis=242<>faulthandler_disableBeforeClose=1<>Pydocs_NoReadAfterAccess=2<>Pydocs_MustReleaseLock=2,3057882.0,BuiltinAllAnalysis=violation=459054<>ComparisonBehaviorAnalysis=ne_end=3047<>ComparisonBehaviorAnalysis=eq_end=51330<>InPlaceSortAnalysis=list_used=62586<>InPlaceSortAnalysis=list_sorted=102<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=54365<>NonFinitesAnalysis=non_finite_op=458944<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=27270<>StringStripAnalysis=strip=533<>WrongTypeAddedAnalysis=check_append=463999<>WrongTypeAddedAnalysis=check_insert=463999<>WrongTypeAddedAnalysis=check_extend=463999<>WrongTypeAddedAnalysis=check_add=463999<>WrongTypeAddedAnalysis=check_add_assign=27270<>UnsafeListIterator=createList=35504<>UnsafeListIterator=updateList=105<>UnsafeListIterator=createIter=45<>UnsafeDictIterator=createDict=4916<>UnsafeDictIterator=updateDict=13471<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=122<>FileClosedAnalysis=close=121<>FileClosedAnalysis=end=120<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_NoReadAfterAccess=access=2839<>Pydocs_NoReadAfterAccess=vulnerable_open=81<>Pydocs_MustReleaseLock=acquire=16<>Pydocs_MustReleaseLock=release=16<>Pydocs_MustReleaseLock=end=1
django-yamlconf,20260316_091803,1e2eb35ff1bff9b9ced08a40965b519faee0a361,1522521186,django-yamlconf: Cleaned up some code,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
django-yamlconf,20260316_091803,aca845734c450696846c0a93c7b38cd627610425,1529879615,django-yamlconf: Support both :append and :prepend for lists,False,original,96,63,0,0,0,0,0.64,x,original,0.0,0.0,1.0120530128479004,0.0,1.0120530128479004,,,,,,,,,,
django-yamlconf,20260316_091803,aca845734c450696846c0a93c7b38cd627610425,1529879615,django-yamlconf: Support both :append and :prepend for lists,False,pymop,93,66,0,0,0,0,35.62,x,pymop,10.09921407699585,0.6260244846343994,43.00376009941101,0.0,53.72899866104126,86.0,InvalidComparisonAnalysis=2;Pydocs_NoReadAfterAccess=84,2.0,InvalidComparisonAnalysis=1;Pydocs_NoReadAfterAccess=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_NoReadAfterAccess:<frozen codecs>:918=1,,15116.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=10826<>UnsafeDictIterator=4001<>ArgParse_Parent=1<>FileClosedAnalysis=248<>faulthandler_disableBeforeClose=1<>Pydocs_NoReadAfterAccess=2<>Pydocs_MustReleaseLock=2,3135432.0,BuiltinAllAnalysis=violation=470582<>ComparisonBehaviorAnalysis=ne_end=3110<>ComparisonBehaviorAnalysis=eq_end=53691<>InPlaceSortAnalysis=list_used=63612<>InPlaceSortAnalysis=list_sorted=102<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=56789<>NonFinitesAnalysis=non_finite_op=470472<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=27869<>StringStripAnalysis=strip=545<>WrongTypeAddedAnalysis=check_append=475617<>WrongTypeAddedAnalysis=check_insert=475617<>WrongTypeAddedAnalysis=check_extend=475617<>WrongTypeAddedAnalysis=check_add=475617<>WrongTypeAddedAnalysis=check_add_assign=27869<>UnsafeListIterator=createList=36112<>UnsafeListIterator=updateList=105<>UnsafeListIterator=createIter=45<>UnsafeDictIterator=createDict=4994<>UnsafeDictIterator=updateDict=13651<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=125<>FileClosedAnalysis=close=124<>FileClosedAnalysis=end=123<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_NoReadAfterAccess=access=2899<>Pydocs_NoReadAfterAccess=vulnerable_open=84<>Pydocs_MustReleaseLock=acquire=16<>Pydocs_MustReleaseLock=release=16<>Pydocs_MustReleaseLock=end=1
django-yamlconf,20260316_091803,aca845734c450696846c0a93c7b38cd627610425,1529879615,django-yamlconf: Support both :append and :prepend for lists,False,dylin,x,x,x,x,x,x,x,x,dylin,x,0.0,x,x,x,,,,,,,,,,
django-yamlconf,20260316_091803,a0657f2bd2f37ab7d083bda8a3efeff44f2f204d,1529981135,django-yamlconf: Update templatetags,False,original,96,63,0,0,0,0,0.65,x,original,0.0,0.0,1.0125575065612793,0.0,1.0125575065612793,,,,,,,,,,
